Date,Visitor,G,Home,G,,Att.,LOG,Notes
2022-11-15,San Jose Sharks,5,Vegas Golden Knights,2,,17899,2:25,
2022-11-16,St. Louis Blues,5,Chicago Blackhawks,2,,16284,2:18,
2022-11-16,Los Angeles Kings,3,Edmonton Oilers,1,,16943,2:28,
2022-11-16,Buffalo Sabres,1,Ottawa Senators,4,,13558,2:32,
2022-11-17,Philadelphia Flyers,1,Boston Bruins,4,,17850,2:30,
2022-11-17,Colorado Avalanche,3,Carolina Hurricanes,2,OT,18680,2:33,
2022-11-17,Montreal Canadiens,4,Columbus Blue Jackets,6,,14914,2:36,
2022-11-17,Dallas Stars,6,Florida Panthers,4,,14428,2:38,
2022-11-17,Pittsburgh Penguins,6,Minnesota Wild,4,,18224,2:28,
2022-11-17,New York Islanders,4,Nashville Predators,5,,17159,2:25,
2022-11-17,New York Rangers,2,Seattle Kraken,3,OT,17151,2:28,
2022-11-17,Detroit Red Wings,7,San Jose Sharks,4,,14134,2:19,
2022-11-17,Washington Capitals,4,St. Louis Blues,5,SO,18096,2:50,
2022-11-17,Calgary Flames,1,Tampa Bay Lightning,4,,19092,2:38,
2022-11-17,New Jersey Devils,3,Toronto Maple Leafs,2,OT,18189,2:22,
2022-11-17,Arizona Coyotes,1,Vegas Golden Knights,4,,17708,2:27,
2022-11-17,Anaheim Ducks,2,Winnipeg Jets,3,,14278,2:24,
2022-11-18,Los Angeles Kings,1,Vancouver Canucks,4,,18841,2:24,
2022-11-19,Chicago Blackhawks,1,Boston Bruins,6,,17850,2:21,
2022-11-19,Detroit Red Wings,6,Columbus Blue Jackets,1,,18693,2:25,
2022-11-19,New York Islanders,2,Dallas Stars,5,,18532,2:25,
2022-11-19,Vegas Golden Knights,3,Edmonton Oilers,4,OT,18347,2:20,
2022-11-19,Calgary Flames,5,Florida Panthers,4,SO,15842,2:48,
2022-11-19,Carolina Hurricanes,1,Minnesota Wild,2,OT,18278,2:31,
2022-11-19,Philadelphia Flyers,4,Montreal Canadiens,5,SO,21105,2:41,
2022-11-19,Tampa Bay Lightning,3,Nashville Predators,2,OT,17444,2:32,
2022-11-19,New Jersey Devils,5,Ottawa Senators,1,,18881,2:33,
2022-11-19,Los Angeles Kings,2,Seattle Kraken,3,OT,17151,2:21,
2022-11-19,New York Rangers,2,San Jose Sharks,1,,17562,2:28,
2022-11-19,Anaheim Ducks,2,St. Louis Blues,6,,18096,2:27,
2022-11-19,Buffalo Sabres,2,Toronto Maple Leafs,5,,18645,2:26,
2022-11-19,Pittsburgh Penguins,3,Winnipeg Jets,0,,15325,2:26,
2022-11-19,Colorado Avalanche,4,Washington Capitals,0,,18573,2:26,
2022-11-20,Florida Panthers,3,Columbus Blue Jackets,5,,15643,2:30,
2022-11-20,Pittsburgh Penguins,5,Chicago Blackhawks,3,,21182,2:30,
2022-11-21,Colorado Avalanche,3,Dallas Stars,2,SO,18532,2:44,
2022-11-21,Edmonton Oilers,2,New Jersey Devils,5,,16514,2:23,
2022-11-21,Arizona Coyotes,3,Nashville Predators,4,SO,17159,2:46,
2022-11-21,Calgary Flames,5,Philadelphia Flyers,2,,17896,2:21,
2022-11-21,Ottawa Senators,1,San Jose Sharks,5,,11295,2:26,
2022-11-21,Anaheim Ducks,1,St. Louis Blues,3,,18096,2:21,
2022-11-21,Boston Bruins,5,Tampa Bay Lightning,3,,19092,2:29,
2022-11-21,New York Islanders,3,Toronto Maple Leafs,2,OT,18494,2:32,
2022-11-21,Vegas Golden Knights,5,Vancouver Canucks,4,,18558,2:37,
2022-11-21,Carolina Hurricanes,3,Winnipeg Jets,4,OT,13346,2:19,
2022-11-22,New York Rangers,5,Los Angeles Kings,3,,18230,2:27,
2022-11-22,Buffalo Sabres,7,Montreal Canadiens,2,,20984,2:26,
2022-11-23,New York Rangers,2,Anaheim Ducks,3,,13759,2:21,
2022-11-23,St. Louis Blues,2,Buffalo Sabres,6,,17302,2:20,
2022-11-23,Arizona Coyotes,4,Carolina Hurricanes,0,,18775,2:27,
2022-11-23,Montreal Canadiens,3,Columbus Blue Jackets,1,,14197,2:32,
2022-11-23,Vancouver Canucks,4,Colorado Avalanche,3,,18132,2:38,
2022-11-23,Chicago Blackhawks,4,Dallas Stars,6,,18532,2:29,
2022-11-23,Nashville Predators,0,Detroit Red Wings,3,,19515,2:19,
2022-11-23,Boston Bruins,2,Florida Panthers,5,,17511,2:37,
2022-11-23,Winnipeg Jets,1,Minnesota Wild,6,,17450,2:33,
2022-11-23,Toronto Maple Leafs,2,New Jersey Devils,1,,16514,2:42,
2022-11-23,Edmonton Oilers,0,New York Islanders,3,,17255,2:34,
2022-11-23,Calgary Flames,1,Pittsburgh Penguins,2,SO,18149,2:37,
2022-11-23,San Jose Sharks,5,Seattle Kraken,8,,17151,2:25,
2022-11-23,Ottawa Senators,1,Vegas Golden Knights,4,,17955,2:34,
2022-11-23,Philadelphia Flyers,2,Washington Capitals,3,OT,18573,2:33,
2022-11-25,Ottawa Senators,5,Anaheim Ducks,1,,14278,2:36,
2022-11-25,Carolina Hurricanes,2,Boston Bruins,3,OT,17850,2:48,
2022-11-25,New Jersey Devils,3,Buffalo Sabres,1,,16727,2:32,
2022-11-25,New York Islanders,3,Columbus Blue Jackets,2,,17286,2:29,
2022-11-25,Montreal Canadiens,3,Chicago Blackhawks,2,SO,16159,2:32,
2022-11-25,Winnipeg Jets,5,Dallas Stars,4,OT,18532,2:49,
2022-11-25,Arizona Coyotes,3,Detroit Red Wings,4,SO,19515,2:41,
2022-11-25,Toronto Maple Leafs,4,Minnesota Wild,3,,18997,2:28,
2022-11-25,Pittsburgh Penguins,4,Philadelphia Flyers,1,,19309,2:22,
2022-11-25,Los Angeles Kings,5,San Jose Sharks,2,,17562,2:29,
2022-11-25,St. Louis Blues,2,Tampa Bay Lightning,5,,19092,2:22,
2022-11-25,Seattle Kraken,4,Vegas Golden Knights,2,,18119,2:22,
2022-11-25,Calgary Flames,0,Washington Capitals,3,,18573,2:25,
2022-11-26,Calgary Flames,2,Carolina Hurricanes,3,,18845,2:29,
2022-11-26,Dallas Stars,1,Colorado Avalanche,4,,18129,2:40,
2022-11-26,St. Louis Blues,5,Florida Panthers,4,OT,15649,2:26,
2022-11-26,Washington Capitals,1,New Jersey Devils,5,,16514,2:27,
2022-11-26,Philadelphia Flyers,2,New York Islanders,5,,17255,2:18,
2022-11-26,Edmonton Oilers,4,New York Rangers,3,,18006,2:34,
2022-11-26,Toronto Maple Leafs,4,Pittsburgh Penguins,1,,18166,2:25,
2022-11-26,Vancouver Canucks,5,Vegas Golden Knights,1,,18004,2:30,
2022-11-27,Seattle Kraken,5,Anaheim Ducks,4,,14324,2:25,
2022-11-27,Winnipeg Jets,7,Chicago Blackhawks,2,,17611,2:23,
2022-11-27,Ottawa Senators,3,Los Angeles Kings,2,OT,15136,2:37,
2022-11-27,Arizona Coyotes,3,Minnesota Wild,4,,17745,2:31,
2022-11-27,Vancouver Canucks,4,San Jose Sharks,3,OT,11307,2:21,
2022-11-28,Tampa Bay Lightning,6,Buffalo Sabres,5,OT,11766,2:37,
2022-11-28,Vegas Golden Knights,3,Columbus Blue Jackets,2,SO,13771,2:44,
2022-11-28,Toronto Maple Leafs,4,Detroit Red Wings,2,,18277,2:24,
2022-11-28,Florida Panthers,3,Edmonton Oilers,4,OT,17775,2:36,
